BSSID,Channel,Privacy,Ciper,Auth,Power,ESSID,Lat,Lon
00:0D:97:00:5B:33,11,OPN,,,-76,BWP Free WiFi,34.197995,-118.343775
00:0D:97:08:51:69,161,WPA2WPA,CCMP TKIP,PSK,-82,None,34.197994,-118.343780
00:0D:97:09:FF:E0,11,WEP,WEP,,-88,None,34.197995,-118.343777
00:1A:8C:8C:B5:A3,1,WPA2,CCMP,,-90,R-WU-WLAN,34.197994,-118.343782
00:1A:8C:8C:B5:A4,1,WPA2,CCMP,PSK,-90,Guest,34.197994,-118.343780
00:1A:8C:8C:B5:A5,1,WPA2,CCMP,PSK,-86,R-US-WiFi,34.197994,-118.343783
00:1A:8C:8C:B5:A6,1,WPA2,CCMP,PSK,-90,R-Artist,34.197994,-118.343784
0E:EC:DA:A5:52:34,36,WPA2,CCMP,PSK,-48,Starbucks 7310,34.197994,-118.343780
24:79:2A:7C:30:E8,4,OPN,,,-96,RW_Lab,34.197994,-118.343780
24:79:2A:BC:30:E8,4,OPN,,,-90,RW_Guest,34.197994,-118.343780
4A:D9:E7:0B:22:0D,11,WPA2,CCMP,PSK,-88,AFAF,34.197994,-118.343780
4E:D9:E7:0B:22:0D,11,WPA2WPA,CCMP TKIP,PSK,-88,AFAF-Guest,34.197996,-118.343774
94:B4:0F:07:59:41,1,WPA2,CCMP,PSK,-94,AEGUEST,34.197994,-118.343780
94:B4:0F:07:59:43,1,WPA2,CCMP,,-96,None,34.197994,-118.343788
94:B4:0F:19:1C:21,1,WPA2,CCMP,PSK,-82,AEGUEST,34.197994,-118.343782
94:B4:0F:19:1C:22,1,WPA2,CCMP,,-74,None,34.197994,-118.343783
94:B4:0F:19:1C:23,1,WPA2,CCMP,,-84,None,34.197994,-118.343782
94:B4:0F:19:37:41,11,WPA2,CCMP,PSK,-92,AEGUEST,34.197998,-118.343765
B4:FB:E4:71:A0:EA,11,WPA2,CCMP,PSK,-50,None,34.197995,-118.343778
C4:04:15:4A:D7:CA,7,WPA2,CCMP,PSK,-94,BRMS-2.4G,34.197995,-118.343775
E4:95:6E:0A:70:D0,1,WPA2WPA,CCMP TKIP,PSK,-92,HOME_0A70D0_2G,34.197994,-118.343784
F8:1D:0F:B8:C0:F8,1,WPA2WPA,CCMP TKIP,PSK,-86,PROCESS_CONTROL_LAB,34.197994,-118.343783
FC:EC:DA:A4:52:34,6,WPA2,CCMP,PSK,-40,NSL,34.197994,-118.343780
FE:EC:DA:A4:52:34,6,WPA2,CCMP,PSK,-38,Starbucks 7310,34.197994,-118.343780
FE:EC:DA:A5:52:34,36,WPA2,CCMP,PSK,-46,NSL,34.197994,-118.343780

ClientMAC, Power, BSSID, ESSID
00:0D:97:00:5B:33,-76,00:0D:97:00:5B:33,BWP Free WiFi
00:0D:97:08:51:69,-82,00:0D:97:08:51:69,None
00:0D:97:09:FF:E0,-88,00:0D:97:09:FF:E0,None
00:1A:8C:8C:B5:A3,-90,00:1A:8C:8C:B5:A3,R-WU-WLAN
00:1A:8C:8C:B5:A4,-90,00:1A:8C:8C:B5:A4,Guest
00:1A:8C:8C:B5:A5,-86,00:1A:8C:8C:B5:A5,R-US-WiFi
00:1A:8C:8C:B5:A6,-90,00:1A:8C:8C:B5:A6,R-Artist
0E:EC:DA:A5:52:34,-48,0E:EC:DA:A5:52:34,Starbucks 7310
9C:B6:D0:66:B5:B7,-48,0E:EC:DA:A5:52:34,Starbucks 7310
24:79:2A:7C:30:E8,-96,24:79:2A:7C:30:E8,RW_Lab
24:79:2A:BC:30:E8,-90,24:79:2A:BC:30:E8,RW_Guest
4A:D9:E7:0B:22:0D,-88,4A:D9:E7:0B:22:0D,AFAF
4E:D9:E7:0B:22:0D,-88,4E:D9:E7:0B:22:0D,AFAF-Guest
94:B4:0F:07:59:41,-94,94:B4:0F:07:59:41,AEGUEST
94:B4:0F:07:59:43,-96,94:B4:0F:07:59:43,None
94:B4:0F:19:1C:21,-82,94:B4:0F:19:1C:21,AEGUEST
00:00:5E:00:01:01,-74,94:B4:0F:19:1C:22,None
00:1E:4F:0B:A7:A5,-86,94:B4:0F:19:1C:22,None
00:1E:67:84:D7:38,-86,94:B4:0F:19:1C:22,None
00:22:13:00:14:BA,-84,94:B4:0F:19:1C:22,None
00:22:13:00:14:E9,-86,94:B4:0F:19:1C:22,None
00:22:13:00:14:EE,-86,94:B4:0F:19:1C:22,None
00:22:13:00:17:3F,-86,94:B4:0F:19:1C:22,None
00:26:B9:ED:0E:EA,-86,94:B4:0F:19:1C:22,None
00:50:56:9D:00:56,-86,94:B4:0F:19:1C:22,None
00:50:56:9D:01:1E,-86,94:B4:0F:19:1C:22,None
00:50:56:9D:01:36,-86,94:B4:0F:19:1C:22,None
00:50:56:9D:01:BE,-86,94:B4:0F:19:1C:22,None
00:50:56:A2:22:99,-86,94:B4:0F:19:1C:22,None
00:50:56:A2:33:40,-84,94:B4:0F:19:1C:22,None
00:50:56:A2:49:92,-86,94:B4:0F:19:1C:22,None
00:50:56:A2:93:3F,-86,94:B4:0F:19:1C:22,None
00:50:56:A2:F0:46,-86,94:B4:0F:19:1C:22,None
00:80:2F:17:1D:D3,-86,94:B4:0F:19:1C:22,None
08:11:96:EF:07:40,-84,94:B4:0F:19:1C:22,None
18:03:73:C0:E5:12,-86,94:B4:0F:19:1C:22,None
1C:4D:70:F5:DB:74,-84,94:B4:0F:19:1C:22,None
20:FD:F1:A0:55:CF,-80,94:B4:0F:19:1C:22,None
28:F1:0E:11:4E:E5,-86,94:B4:0F:19:1C:22,None
50:6B:8D:24:32:55,-86,94:B4:0F:19:1C:22,None
50:6B:8D:A7:EC:68,-86,94:B4:0F:19:1C:22,None
50:6B:8D:CC:BD:BC,-86,94:B4:0F:19:1C:22,None
5C:26:0A:7F:1F:23,-86,94:B4:0F:19:1C:22,None
60:57:18:79:46:86,-88,94:B4:0F:19:1C:22,None
68:14:01:72:91:0B,-86,94:B4:0F:19:1C:22,None
94:53:30:03:48:A1,-86,94:B4:0F:19:1C:22,None
94:B4:0F:19:1C:22,-84,94:B4:0F:19:1C:22,None
98:90:96:D7:65:A0,-86,94:B4:0F:19:1C:22,None
A4:BF:01:23:B3:0E,-84,94:B4:0F:19:1C:22,None
B8:AC:6F:19:AA:08,-86,94:B4:0F:19:1C:22,None
B8:AC:6F:43:78:75,-84,94:B4:0F:19:1C:22,None
B8:AC:6F:48:50:FC,-86,94:B4:0F:19:1C:22,None
BC:30:5B:A3:9B:EA,-86,94:B4:0F:19:1C:22,None
BC:30:5B:E2:E8:83,-86,94:B4:0F:19:1C:22,None
C8:F7:50:E4:63:5C,-86,94:B4:0F:19:1C:22,None
D4:BE:D9:8F:C2:E5,-84,94:B4:0F:19:1C:22,None
F0:1F:AF:52:64:9E,-86,94:B4:0F:19:1C:22,None
F0:4D:A2:28:63:EE,-86,94:B4:0F:19:1C:22,None
F8:BC:12:9F:1B:29,-88,94:B4:0F:19:1C:22,None
94:B4:0F:19:1C:23,-84,94:B4:0F:19:1C:23,None
94:B4:0F:19:37:41,-92,94:B4:0F:19:37:41,AEGUEST
B4:FB:E4:71:A0:EA,-50,B4:FB:E4:71:A0:EA,None
C4:04:15:4A:D7:CA,-94,C4:04:15:4A:D7:CA,BRMS-2.4G
E4:95:6E:0A:70:D0,-92,E4:95:6E:0A:70:D0,HOME_0A70D0_2G
F8:1D:0F:B8:C0:F8,-86,F8:1D:0F:B8:C0:F8,PROCESS_CONTROL_LAB
BC:3F:4E:24:18:AA,-46,FC:EC:DA:A4:52:34,NSL
FC:EC:DA:A4:52:34,-40,FC:EC:DA:A4:52:34,NSL
88:B1:11:6B:0F:17,-42,FE:EC:DA:A4:52:34,Starbucks 7310
9C:B6:D0:66:B5:B7,-42,FE:EC:DA:A4:52:34,Starbucks 7310
FE:EC:DA:A4:52:34,-38,FE:EC:DA:A4:52:34,Starbucks 7310
8C:85:90:24:2A:DF,-46,FE:EC:DA:A5:52:34,NSL
FE:EC:DA:A5:52:34,-48,FE:EC:DA:A5:52:34,NSL
